"Label (Grouping)","Boston-Cambridge-Newton, MA-NH Metro Area!!Estimate","Boston-Cambridge-Newton, MA-NH Metro Area!!Margin of Error","Boston-Cambridge-Newton, MA-NH Metro Area!!Percent","Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Margin of Error","Salt Lake City-Murray, UT Metro Area!!Estimate","Salt Lake City-Murray, UT Metro Area!!Margin of Error","Salt Lake City-Murray, UT Metro Area!!Percent","Salt Lake City-Murray, UT Metro Area!!Percent Margin of Error","San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","San Francisco-Oakland-Fremont, CA Metro Area!!Percent","San Francisco-Oakland-Fremont, CA Metro Area!!Percent Margin of Error"
"        Built 1940 to 1949","92,514","±6,105","4.4%","±0.3","13,852","±1,838","2.8%","±0.4","138,516","±5,745","7.3%","±0.3"
"        Built 1939 or earlier","639,532","±12,178","30.7%","±0.6","34,715","±3,377","7.0%","±0.7","382,633","±9,210","20.0%","±0.5"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,081,743","±490","2,081,743","(X)","493,951","±164","493,951","(X)","1,908,554","±568","1,908,554","(X)"
"        1 room","58,891","±5,798","2.8%","±0.3","16,542","±3,122","3.3%","±0.6","122,018","±6,256","6.4%","±0.3"
"        2 rooms","105,314","±5,887","5.1%","±0.3","23,328","±3,277","4.7%","±0.7","124,296","±6,528","6.5%","±0.3"
"        3 rooms","247,761","±8,226","11.9%","±0.4","41,413","±4,345","8.4%","±0.9","256,069","±9,727","13.4%","±0.5"
"        4 rooms","330,928","±10,172","15.9%","±0.5","70,712","±4,807","14.3%","±1.0","349,519","±10,310","18.3%","±0.5"
"        5 rooms","330,807","±9,955","15.9%","±0.5","55,830","±4,305","11.3%","±0.9","311,443","±9,345","16.3%","±0.5"
"        6 rooms","317,392","±9,240","15.2%","±0.4","60,228","±4,810","12.2%","±1.0","283,402","±9,323","14.8%","±0.5"
"        7 rooms","227,175","±7,774","10.9%","±0.4","53,788","±4,104","10.9%","±0.8","176,969","±5,693","9.3%","±0.3"
"        8 rooms","190,342","±6,473","9.1%","±0.3","54,953","±3,661","11.1%","±0.7","134,927","±5,797","7.1%","±0.3"
"        9 rooms or more","273,133","±8,893","13.1%","±0.4","117,157","±5,223","23.7%","±1.1","149,911","±6,163","7.9%","±0.3"
"        Median rooms","5.4","±0.1","(X)","(X)","6.2","±0.2","(X)","(X)","4.8","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,081,743","±490","2,081,743","(X)","493,951","±164","493,951","(X)","1,908,554","±568","1,908,554","(X)"
"        No bedroom","67,571","±5,755","3.2%","±0.3","17,547","±3,136","3.6%","±0.6","139,069","±7,087","7.3%","±0.4"
"        1 bedroom","319,131","±9,003","15.3%","±0.4","53,989","±4,691","10.9%","±0.9","312,109","±9,247","16.4%","±0.5"
"        2 bedrooms","591,909","±12,856","28.4%","±0.6","98,061","±5,076","19.9%","±1.0","509,610","±12,167","26.7%","±0.6"
"        3 bedrooms","653,272","±11,439","31.4%","±0.6","120,128","±5,706","24.3%","±1.2","542,339","±9,518","28.4%","±0.5"
"        4 bedrooms","345,413","±9,118","16.6%","±0.4","108,267","±4,894","21.9%","±1.0","315,308","±7,207","16.5%","±0.4"
"        5 or more bedrooms","104,447","±5,239","5.0%","±0.3","95,959","±5,093","19.4%","±1.0","90,119","±4,753","4.7%","±0.2"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","1,970,240","±6,888","1,970,240","(X)","469,925","±3,414","469,925","(X)","1,770,425","±8,818","1,770,425","(X)"
"        Owner-occupied","1,202,110","±12,573","61.0%","±0.6","307,450","±5,848","65.4%","±1.3","974,747","±10,318","55.1%","±0.6"
"        Renter-occupied","768,130","±13,535","39.0%","±0.6","162,475","±6,356","34.6%","±1.3","795,678","±11,341","44.9%","±0.6"
"        Average household size of owner-occupied unit","2.67","±0.02","(X)","(X)","3.01","±0.04","(X)","(X)","2.77","±0.02","(X)","(X)"
"        Average household size of renter-occupied unit","2.14","±0.02","(X)","(X)","2.20","±0.06","(X)","(X)","2.32","±0.03","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","1,970,240","±6,888","1,970,240","(X)","469,925","±3,414","469,925","(X)","1,770,425","±8,818","1,770,425","(X)"
"        Moved in 2023 or later","309,441","±9,220","15.7%","±0.5","95,033","±4,866","20.2%","±1.0","290,515","±8,857","16.4%","±0.5"
"        Moved in 2020 to 2022","415,569","±10,366","21.1%","±0.5","104,752","±5,500","22.3%","±1.2","390,977","±9,989","22.1%","±0.6"
"        Moved in 2010 to 2019","589,679","±10,746","29.9%","±0.5","139,888","±5,480","29.8%","±1.1","483,795","±10,092","27.3%","±0.6"
"        Moved in 2000 to 2009","278,703","±9,298","14.1%","±0.5","66,003","±3,655","14.0%","±0.8","267,892","±8,668","15.1%","±0.5"
"        Moved in 1990 to 1999","188,093","±6,422","9.5%","±0.3","32,095","±2,252","6.8%","±0.5","161,408","±6,684","9.1%","±0.4"
"        Moved in 1989 and earlier","188,755","±6,154","9.6%","±0.3","32,154","±2,117","6.8%","±0.5","175,838","±6,214","9.9%","±0.3"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","1,970,240","±6,888","1,970,240","(X)","469,925","±3,414","469,925","(X)","1,770,425","±8,818","1,770,425","(X)"
"        No vehicles available","246,779","±8,596","12.5%","±0.4","27,925","±3,451","5.9%","±0.7","232,691","±7,080","13.1%","±0.4"
"        1 vehicle available","713,805","±14,397","36.2%","±0.7","134,334","±6,891","28.6%","±1.4","604,630","±11,451","34.2%","±0.6"
"        2 vehicles available","696,165","±11,670","35.3%","±0.6","169,263","±5,677","36.0%","±1.2","591,320","±9,759","33.4%","±0.5"
"        3 or more vehicles available","313,491","±7,654","15.9%","±0.4","138,403","±6,299","29.5%","±1.3","341,784","±8,328","19.3%","±0.5"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","1,970,240","±6,888","1,970,240","(X)","469,925","±3,414","469,925","(X)","1,770,425","±8,818","1,770,425","(X)"
"        Utility gas","1,051,771","±13,012","53.4%","±0.6","371,835","±6,254","79.1%","±1.2","1,094,566","±11,134","61.8%","±0.6"
"        Bottled or tank gas (propane, butane, etc.)","101,432","±5,081","5.1%","±0.3","6,828","±2,102","1.5%","±0.4","21,461","±2,607","1.2%","±0.1"
"        Electricity","400,926","±10,550","20.3%","±0.5","84,684","±5,704","18.0%","±1.2","569,610","±9,659","32.2%","±0.5"
"        Fuel oil, kerosene, etc.","369,930","±9,043","18.8%","±0.5","596","±413","0.1%","±0.1","1,516","±529","0.1%","±0.1"
"        Coal or coke","893","±806","0.0%","±0.1","73","±123","0.0%","±0.1","833","±666","0.0%","±0.1"
"        Wood","11,388","±1,917","0.6%","±0.1","864","±595","0.2%","±0.1","3,905","±1,131","0.2%","±0.1"
"        Solar energy","4,687","±1,279","0.2%","±0.1","1,977","±801","0.4%","±0.2","19,284","±2,585","1.1%","±0.1"
"        Other fuel","15,098","±2,307","0.8%","±0.1","1,361","±643","0.3%","±0.1","6,411","±1,616","0.4%","±0.1"
"        No fuel used","14,115","±2,448","0.7%","±0.1","1,707","±902","0.4%","±0.2","52,839","±4,693","3.0%","±0.3"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","1,970,240","±6,888","1,970,240","(X)","469,925","±3,414","469,925","(X)","1,770,425","±8,818","1,770,425","(X)"
"        Lacking complete plumbing facilities","6,216","±1,670","0.3%","±0.1","842","±564","0.2%","±0.1","10,628","±1,962","0.6%","±0.1"
"        Lacking complete kitchen facilities","17,408","±2,410","0.9%","±0.1","3,713","±1,271","0.8%","±0.3","21,883","±2,739","1.2%","±0.2"
"        No telephone service available","12,897","±2,193","0.7%","±0.1","2,067","±714","0.4%","±0.2","15,790","±2,486","0.9%","±0.1"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","1,970,240","±6,888","1,970,240","(X)","469,925","±3,414","469,925","(X)","1,770,425","±8,818","1,770,425","(X)"
"        1.00 or less","1,913,179","±9,102","97.1%","±0.2","453,922","±4,092","96.6%","±0.6","1,662,828","±10,772","93.9%","±0.4"
"        1.01 to 1.50","37,698","±4,119","1.9%","±0.2","10,469","±2,126","2.2%","±0.5","62,422","±4,617","3.5%","±0.3"
"        1.51 or more","19,363","±2,416","1.0%","±0.1","5,534","±1,922","1.2%","±0.4","45,175","±3,987","2.6%","±0.2"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","1,202,110","±12,573","1,202,110","(X)","307,450","±5,848","307,450","(X)","974,747","±10,318","974,747","(X)"
"        Less than $50,000","20,481","±2,656","1.7%","±0.2","9,136","±1,735","3.0%","±0.6","15,722","±2,190","1.6%","±0.2"
"        $50,000 to $99,999","14,536","±2,071","1.2%","±0.2","4,418","±1,189","1.4%","±0.4","7,780","±1,654","0.8%","±0.2"
"        $100,000 to $149,999","8,386","±1,596","0.7%","±0.1","3,159","±1,270","1.0%","±0.4","8,082","±1,239","0.8%","±0.1"
"        $150,000 to $199,999","10,121","±1,821","0.8%","±0.2","1,957","±637","0.6%","±0.2","6,496","±1,596","0.7%","±0.2"
"        $200,000 to $299,999","35,475","±3,551","3.0%","±0.3","9,429","±1,487","3.1%","±0.5","9,046","±1,457","0.9%","±0.1"
"        $300,000 to $499,999","223,989","±7,010","18.6%","±0.5","92,632","±4,556","30.1%","±1.3","42,300","±3,572","4.3%","±0.4"
"        $500,000 to $999,999","644,491","±11,915","53.6%","±0.8","155,902","±4,780","50.7%","±1.3","314,731","±8,110","32.3%","±0.7"
"        $1,000,000 or more","244,631","±7,325","20.4%","±0.6","30,817","±2,673","10.0%","±0.9","570,590","±8,512","58.5%","±0.7"
"        Median (dollars)","681,100","±4,127","(X)","(X)","575,200","±8,465","(X)","(X)","1,132,900","±9,596","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","1,202,110","±12,573","1,202,110","(X)","307,450","±5,848","307,450","(X)","974,747","±10,318","974,747","(X)"
"        Housing units with a mortgage","804,070","±12,205","66.9%","±0.7","214,354","±5,846","69.7%","±1.2","658,625","±10,330","67.6%","±0.8"
"        Housing units without a mortgage","398,040","±9,349","33.1%","±0.7","93,096","±3,970","30.3%","±1.2","316,122","±8,570","32.4%","±0.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","804,070","±12,205","804,070","(X)","214,354","±5,846","214,354","(X)","658,625","±10,330","658,625","(X)"
"        Less than $500","2,490","±874","0.3%","±0.1","1,944","±902","0.9%","±0.4","1,502","±548","0.2%","±0.1"
"        $500 to $999","9,907","±1,625","1.2%","±0.2","7,120","±1,572","3.3%","±0.7","7,368","±1,532","1.1%","±0.2"
"        $1,000 to $1,499","36,879","±3,683","4.6%","±0.4","27,413","±2,688","12.8%","±1.2","13,784","±1,699","2.1%","±0.3"
"        $1,500 to $1,999","87,132","±5,232","10.8%","±0.6","51,143","±4,036","23.9%","±1.6","38,951","±3,269","5.9%","±0.5"
"        $2,000 to $2,499","129,902","±7,254","16.2%","±0.8","45,828","±3,433","21.4%","±1.5","52,969","±4,002","8.0%","±0.6"
"        $2,500 to $2,999","134,626","±6,401","16.7%","±0.8","34,137","±3,705","15.9%","±1.6","72,824","±4,413","11.1%","±0.6"
"        $3,000 or more","403,134","±9,054","50.1%","±0.9","46,769","±3,428","21.8%","±1.7","471,227","±8,922","71.5%","±0.8"
"        Median (dollars)","3,005","±32","(X)","(X)","2,213","±43","(X)","(X)","4,000+","***","(X)","(X)"
"    Housing units without a mortgage","398,040","±9,349","398,040","(X)","93,096","±3,970","93,096","(X)","316,122","±8,570","316,122","(X)"
"        Less than $250","6,331","±1,144","1.6%","±0.3","4,707","±1,236","5.1%","±1.3","6,432","±1,358","2.0%","±0.4"
"        $250 to $399","6,947","±1,675","1.7%","±0.4","6,833","±1,262","7.3%","±1.2","11,997","±1,950","3.8%","±0.6"
"        $400 to $599","20,956","±2,447","5.3%","±0.6","29,990","±2,276","32.2%","±2.2","27,174","±2,269","8.6%","±0.8"
"        $600 to $799","41,038","±3,387","10.3%","±0.8","25,262","±2,456","27.1%","±2.6","45,045","±3,130","14.2%","±0.9"
"        $800 to $999","64,758","±4,166","16.3%","±1.0","10,333","±1,465","11.1%","±1.5","45,440","±3,634","14.4%","±1.0"
"        $1,000 or more","258,010","±7,270","64.8%","±1.1","15,971","±2,688","17.2%","±2.6","180,034","±6,266","57.0%","±1.4"
"        Median (dollars)","1,170","±15","(X)","(X)","638","±16","(X)","(X)","1,095","±21","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","800,650","±12,291","800,650","(X)","213,301","±5,864","213,301","(X)","656,535","±10,396","656,535","(X)"
"        Less than 20.0 percent","354,331","±9,607","44.3%","±1.1","99,569","±5,246","46.7%","±2.0","252,162","±7,868","38.4%","±1.0"
"        20.0 to 24.9 percent","120,420","±6,515","15.0%","±0.8","33,740","±3,023","15.8%","±1.3","91,307","±5,036","13.9%","±0.7"
"        25.0 to 29.9 percent","87,185","±5,536","10.9%","±0.7","22,967","±2,331","10.8%","±1.1","71,040","±4,581","10.8%","±0.7"
"        30.0 to 34.9 percent","56,109","±4,409","7.0%","±0.5","13,763","±2,210","6.5%","±1.0","54,704","±4,239","8.3%","±0.6"
"        35.0 percent or more","182,605","±7,788","22.8%","±0.9","43,262","±3,646","20.3%","±1.6","187,322","±6,738","28.5%","±0.9"
"        Not computed","3,420","±1,286","(X)","(X)","1,053","±633","(X)","(X)","2,090","±742","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","393,321","±9,247","393,321","(X)","92,416","±4,032","92,416","(X)","312,822","±8,586","312,822","(X)"
"        Less than 10.0 percent","146,033","±5,506","37.1%","±1.1","54,297","±3,614","58.8%","±2.9","137,200","±5,561","43.9%","±1.4"
"        10.0 to 14.9 percent","77,909","±4,543","19.8%","±1.1","13,789","±1,916","14.9%","±2.0","55,247","±3,863","17.7%","±1.1"
"        15.0 to 19.9 percent","44,684","±3,355","11.4%","±0.9","8,487","±1,498","9.2%","±1.6","32,708","±3,398","10.5%","±1.0"
"        20.0 to 24.9 percent","27,876","±2,448","7.1%","±0.6","3,778","±906","4.1%","±1.0","20,336","±1,981","6.5%","±0.6"
"        25.0 to 29.9 percent","23,099","±2,866","5.9%","±0.7","2,365","±671","2.6%","±0.7","14,749","±1,760","4.7%","±0.6"
"        30.0 to 34.9 percent","15,543","±2,059","4.0%","±0.5","1,938","±705","2.1%","±0.7","8,489","±1,439","2.7%","±0.5"
"        35.0 percent or more","58,177","±4,003","14.8%","±0.9","7,762","±1,454","8.4%","±1.5","44,093","±2,469","14.1%","±0.7"
"        Not computed","4,719","±1,205","(X)","(X)","680","±402","(X)","(X)","3,300","±873","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","739,961","±13,231","739,961","(X)","158,430","±6,437","158,430","(X)","771,562","±11,211","771,562","(X)"
"        Less than $500","66,705","±4,618","9.0%","±0.6","4,456","±1,477","2.8%","±0.9","33,867","±3,413","4.4%","±0.4"
"        $500 to $999","59,747","±4,902","8.1%","±0.6","12,959","±2,690","8.2%","±1.6","41,557","±3,827","5.4%","±0.5"
"        $1,000 to $1,499","81,632","±6,558","11.0%","±0.9","46,225","±3,921","29.2%","±2.3","64,502","±5,354","8.4%","±0.7"
"        $1,500 to $1,999","134,567","±7,332","18.2%","±0.9","49,017","±4,423","30.9%","±2.4","112,458","±6,752","14.6%","±0.8"
"        $2,000 to $2,499","146,769","±7,741","19.8%","±0.9","27,028","±3,418","17.1%","±2.2","153,329","±7,694","19.9%","±0.9"
"        $2,500 to $2,999","105,297","±5,304","14.2%","±0.7","12,073","±2,500","7.6%","±1.5","123,060","±6,712","15.9%","±0.8"
"        $3,000 or more","145,244","±6,517","19.6%","±0.8","6,672","±1,810","4.2%","±1.1","242,789","±7,365","31.5%","±0.9"
"        Median (dollars)","2,093","±27","(X)","(X)","1,659","±40","(X)","(X)","2,435","±26","(X)","(X)"
"        No rent paid","28,169","±3,688","(X)","(X)","4,045","±1,164","(X)","(X)","24,116","±2,919","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","723,095","±13,472","723,095","(X)","155,774","±6,249","155,774","(X)","757,749","±10,971","757,749","(X)"
"        Less than 15.0 percent","83,951","±5,917","11.6%","±0.8","14,812","±2,424","9.5%","±1.5","105,530","±5,671","13.9%","±0.7"
"        15.0 to 19.9 percent","92,130","±5,303","12.7%","±0.7","21,564","±3,447","13.8%","±2.1","107,110","±5,836","14.1%","±0.8"
"        20.0 to 24.9 percent","90,724","±5,843","12.5%","±0.8","19,524","±2,729","12.5%","±1.7","97,759","±5,715","12.9%","±0.8"
"        25.0 to 29.9 percent","83,708","±4,855","11.6%","±0.7","21,487","±2,945","13.8%","±1.8","82,960","±5,818","10.9%","±0.7"
"        30.0 to 34.9 percent","81,673","±5,928","11.3%","±0.8","17,400","±2,567","11.2%","±1.6","60,995","±4,514","8.0%","±0.6"
"        35.0 percent or more","290,909","±9,154","40.2%","±1.0","60,987","±4,885","39.2%","±2.7","303,395","±10,706","40.0%","±1.2"
"        Not computed","45,035","±5,084","(X)","(X)","6,701","±1,746","(X)","(X)","37,929","±3,969","(X)","(X)"
