"Label (Grouping)","Boston-Cambridge-Newton, MA-NH Metro Area!!Estimate","Boston-Cambridge-Newton, MA-NH Metro Area!!Margin of Error","Boston-Cambridge-Newton, MA-NH Metro Area!!Percent","Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Margin of Error","Salt Lake City-Murray, UT Metro Area!!Estimate","Salt Lake City-Murray, UT Metro Area!!Margin of Error","Salt Lake City-Murray, UT Metro Area!!Percent","Salt Lake City-Murray, UT Metro Area!!Percent Margin of Error","San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","San Francisco-Oakland-Fremont, CA Metro Area!!Percent","San Francisco-Oakland-Fremont, CA Metro Area!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,081,743","±490","2,081,743","(X)","493,951","±164","493,951","(X)","1,908,554","±568","1,908,554","(X)"
"        Occupied housing units","1,970,240","±6,888","94.6%","±0.3","469,925","±3,414","95.1%","±0.7","1,770,425","±8,818","92.8%","±0.5"
"        Vacant housing units","111,503","±6,980","5.4%","±0.3","24,026","±3,433","4.9%","±0.7","138,129","±8,846","7.2%","±0.5"
"        Homeowner vacancy rate","0.6","±0.1","(X)","(X)","1.3","±0.5","(X)","(X)","0.9","±0.2","(X)","(X)"
"        Rental vacancy rate","3.6","±0.5","(X)","(X)","5.1","±1.3","(X)","(X)","5.9","±0.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,081,743","±490","2,081,743","(X)","493,951","±164","493,951","(X)","1,908,554","±568","1,908,554","(X)"
"        1-unit, detached","952,034","±10,778","45.7%","±0.5","292,620","±5,696","59.2%","±1.2","919,011","±9,870","48.2%","±0.5"
"        1-unit, attached","139,808","±6,099","6.7%","±0.3","44,180","±3,332","8.9%","±0.7","183,501","±7,415","9.6%","±0.4"
"        2 units","192,931","±8,003","9.3%","±0.4","13,035","±2,235","2.6%","±0.5","76,473","±5,194","4.0%","±0.3"
"        3 or 4 units","218,891","±9,279","10.5%","±0.4","18,554","±2,460","3.8%","±0.5","128,947","±6,245","6.8%","±0.3"
"        5 to 9 units","110,521","±5,950","5.3%","±0.3","21,755","±3,358","4.4%","±0.7","119,598","±7,457","6.3%","±0.4"
"        10 to 19 units","102,629","±5,256","4.9%","±0.3","23,210","±2,992","4.7%","±0.6","109,368","±6,260","5.7%","±0.3"
"        20 or more units","339,424","±9,309","16.3%","±0.4","71,187","±4,760","14.4%","±1.0","348,334","±9,326","18.3%","±0.5"
"        Mobile home","24,901","±2,425","1.2%","±0.1","9,041","±2,105","1.8%","±0.4","20,571","±2,575","1.1%","±0.1"
"        Boat, RV, van, etc.","604","±377","0.0%","±0.1","369","±580","0.1%","±0.1","2,751","±1,200","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,081,743","±490","2,081,743","(X)","493,951","±164","493,951","(X)","1,908,554","±568","1,908,554","(X)"
"        Built 2020 or later","51,133","±4,133","2.5%","±0.2","34,524","±3,822","7.0%","±0.8","41,251","±3,812","2.2%","±0.2"
"        Built 2010 to 2019","167,950","±6,814","8.1%","±0.3","73,607","±4,650","14.9%","±0.9","125,875","±6,463","6.6%","±0.3"
"        Built 2000 to 2009","161,752","±7,745","7.8%","±0.4","71,467","±4,200","14.5%","±0.9","149,746","±7,548","7.8%","±0.4"
"        Built 1990 to 1999","135,908","±6,828","6.5%","±0.3","62,148","±4,025","12.6%","±0.8","138,709","±5,894","7.3%","±0.3"
"        Built 1980 to 1989","212,673","±6,894","10.2%","±0.3","58,897","±4,232","11.9%","±0.9","201,795","±7,850","10.6%","±0.4"
"        Built 1970 to 1979","213,083","±8,489","10.2%","±0.4","75,076","±4,389","15.2%","±0.9","257,986","±8,579","13.5%","±0.4"
"        Built 1960 to 1969","205,624","±8,550","9.9%","±0.4","34,668","±2,939","7.0%","±0.6","234,833","±7,854","12.3%","±0.4"
"        Built 1950 to 1959","201,574","±7,168","9.7%","±0.3","34,997","±2,679","7.1%","±0.5","237,210","±7,315","12.4%","±0.4"
